date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:03	64298/64298	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Aug%202019%2011:19:22%20GMT	https://www.spotify.com/uk/premium/	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.spotify.com/uk/premium/index.html	(from )
12:19:03	165/165	---M-Z	200	added ('OK')	text/plain	etag:%22169-590c9e9ce7040-gzip%22	https://www.spotify.com/robots.txt		(from )
12:19:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:23%20GMT	http://www.scdn.co/webpack/marketing.01af9e89b0f313a95ae5.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/marketing.01af9e89b0f313a95ae5.0.delayed	(from https://www.spotify.com/uk/premium/)
12:19:04	23539/23539	---M-Z	200	added ('OK')	application/javascript	etag:%22dc4f1ba5d74b0f219abd0ec29f0e6fe6%22	https://www.scdn.co/webpack/marketing.01af9e89b0f313a95ae5.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/marketing.01af9e89b0f313a95ae5.js	(from https://www.spotify.com/uk/premium/)
12:19:04	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.google-analytics.com/analytics.js	(from https://www.spotify.com/uk/premium/)
12:19:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2024%20Aug%202019%2011:19:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.googletagmanager.com/gtm.35445.delayed	(from https://www.spotify.com/uk/premium/)
12:19:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:24%20GMT	http://www.scdn.co/i/_global/favicon.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/favicon.4.delayed	(from https://www.spotify.com/uk/premium/)
12:19:05	3646/3646	---M--	200	added ('OK')	image/png	etag:%22326dfa6c84225dfca443693e985fdaab%22	https://www.scdn.co/i/_global/favicon.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/favicon.png	(from https://www.spotify.com/uk/premium/)
12:19:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:25%20GMT	http://www.scdn.co/i/_global/touch-icon-144.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-144.6.delayed	(from https://www.spotify.com/uk/premium/)
12:19:06	4776/4776	---M--	200	added ('OK')	image/png	etag:%22ff2831d235fec7c02db449621525990e%22	https://www.scdn.co/i/_global/touch-icon-144.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-144.png	(from https://www.spotify.com/uk/premium/)
12:19:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:25%20GMT	http://www.scdn.co/i/_global/touch-icon-114.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-114.8.delayed	(from https://www.spotify.com/uk/premium/)
12:19:06	4551/4551	---M--	200	added ('OK')	image/png	etag:%228795f35b96bc462d6ebd0eabe7b19fa0%22	https://www.scdn.co/i/_global/touch-icon-114.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-114.png	(from https://www.spotify.com/uk/premium/)
12:19:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:26%20GMT	http://www.scdn.co/i/_global/touch-icon-72.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-72.a.delayed	(from https://www.spotify.com/uk/premium/)
12:19:07	2809/2809	---M--	200	added ('OK')	image/png	etag:%22d9162f2cffe72601b324a59997f847a5%22	https://www.scdn.co/i/_global/touch-icon-72.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-72.png	(from https://www.spotify.com/uk/premium/)
12:19:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:26%20GMT	http://www.scdn.co/i/_global/touch-icon-57.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-57.c.delayed	(from https://www.spotify.com/uk/premium/)
12:19:07	2309/2309	---M--	200	added ('OK')	image/png	etag:%2282199b53f54dcfa5fa2b80d0858739d3%22	https://www.scdn.co/i/_global/touch-icon-57.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/_global/touch-icon-57.png	(from https://www.spotify.com/uk/premium/)
12:19:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:27%20GMT	http://www.scdn.co/build/css/spotify-d4b0ac8034.css	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/build/css/spotify-d4b0ac8034.e.delayed	(from https://www.spotify.com/uk/premium/)
12:19:08	403519/403519	---M-Z	200	added ('OK')	text/css	etag:%22d4b0ac8034cdaaead1f07646c615b628%22	https://www.scdn.co/build/css/spotify-d4b0ac8034.css	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/build/css/spotify-d4b0ac8034.css	(from https://www.spotify.com/uk/premium/)
12:19:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:27%20GMT	http://www.scdn.co/build/css/reactlandingpage-e97de7daba.css	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/build/css/reactlandingpage-e97de7daba.10.delayed	(from https://www.spotify.com/uk/premium/)
12:19:09	590/590	---M-Z	200	added ('OK')	text/css	etag:%22e97de7daba78c4d480c9808383ce879d%22	https://www.scdn.co/build/css/reactlandingpage-e97de7daba.css	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/build/css/reactlandingpage-e97de7daba.css	(from https://www.spotify.com/uk/premium/)
12:19:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:29%20GMT	http://www.scdn.co/webpack/sp-analytics.f4a53b1145f51059e672.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/sp-analytics.f4a53b1145f51059e672.12.delayed	(from https://www.spotify.com/uk/premium/)
12:19:10	9425/9425	---M-Z	200	added ('OK')	application/javascript	etag:%2228116bc7627c51e5d0bb6c8bc990fc27%22	https://www.scdn.co/webpack/sp-analytics.f4a53b1145f51059e672.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/sp-analytics.f4a53b1145f51059e672.js	(from https://www.spotify.com/uk/premium/)
12:19:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:29%20GMT	http://www.scdn.co/webpack/tracking.download.ff5af86da6366b31662a.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/tracking.download.ff5af86da6366b31662a.14.delayed	(from https://www.spotify.com/uk/premium/)
12:19:10	2000/2000	---M-Z	200	added ('OK')	application/javascript	etag:%2279b1e12b267f6fef7edfc38bf098f9ce%22	https://www.scdn.co/webpack/tracking.download.ff5af86da6366b31662a.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/tracking.download.ff5af86da6366b31662a.js	(from https://www.spotify.com/uk/premium/)
12:19:11	64328/64328	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Aug%202019%2011:19:30%20GMT	https://www.spotify.com/uk/premium/?checkout=false	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.spotify.com/uk/premium/indexf9a3.html	(from https://www.spotify.com/uk/premium/)
12:19:11	105841/105841	---M--	200	added ('OK')	image/png	etag:%227e268ab7a8e59180283be02c7fc24d7d%22	https://campaigns.scdn.co/images/album-art.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/album-art.png	(from https://www.spotify.com/uk/premium/)
12:19:11	37247/37247	---M--	200	added ('OK')	image/png	etag:%22278410038de2626436af152168aa8c4a%22	https://campaigns.scdn.co/images/top-hero-left.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/top-hero-left.png	(from https://www.spotify.com/uk/premium/)
12:19:11	10876/10876	---M--	200	added ('OK')	image/png	etag:%2239f8cd58485cb2a4c82e63d5230df9bf%22	https://campaigns.scdn.co/images/Icons-save-big.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/Icons-save-big.png	(from https://www.spotify.com/uk/premium/)
12:19:11	152088/152088	---M--	200	added ('OK')	image/png	etag:%225a9e6fc6c47aefd9b55766bfe87a1c99%22	https://campaigns.scdn.co/images/Phones_x_mobile.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/Phones_x_mobile.png	(from https://www.spotify.com/uk/premium/)
12:19:11	5355/5355	---M--	200	added ('OK')	image/png	etag:%227a008dc43d6be4c25b5710611a8610f8%22	https://campaigns.scdn.co/images/benefit-1.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/benefit-1.png	(from https://www.spotify.com/uk/premium/)
12:19:12	6178/6178	---M--	200	added ('OK')	image/png	etag:%22f3aa6529cb2edbe28d14cda907f0aa9b%22	https://campaigns.scdn.co/images/benefit-2.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/benefit-2.png	(from https://www.spotify.com/uk/premium/)
12:19:12	8076/8076	---M--	200	added ('OK')	image/png	etag:%220508d133f1d4e15a59b088eeaae4f4d9%22	https://campaigns.scdn.co/images/benefit-3.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/benefit-3.png	(from https://www.spotify.com/uk/premium/)
12:19:12	5965/5965	---M--	200	added ('OK')	image/png	etag:%229400272f55cd1fdd785f31a007f49898%22	https://campaigns.scdn.co/images/benefit-4.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/campaigns.scdn.co/images/benefit-4.png	(from https://www.spotify.com/uk/premium/)
12:19:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:32%20GMT	http://www.scdn.co/webpack/vendors~ssr-bundle.1713d98bc5c389436a5c.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/vendors_ssr-bundle.1713d98bc5c389436a5c.1e.delayed	(from https://www.spotify.com/uk/premium/)
12:19:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:33%20GMT	http://www.scdn.co/webpack/ssr-bundle.13734acb35be58476cc9.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/ssr-bundle.13734acb35be58476cc9.20.delayed	(from https://www.spotify.com/uk/premium/)
12:19:14	280002/280002	---M-Z	200	added ('OK')	application/javascript	etag:%2243734e1c60d1d82e185ed2c4b2e7adba%22	https://www.scdn.co/webpack/vendors~ssr-bundle.1713d98bc5c389436a5c.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/vendors_ssr-bundle.1713d98bc5c389436a5c.js	(from https://www.spotify.com/uk/premium/)
12:19:14	5169/5169	---M-Z	200	added ('OK')	application/javascript	etag:%22683a7f57c4e50e5a8089c38eb3029f98%22	https://www.scdn.co/webpack/ssr-bundle.13734acb35be58476cc9.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/ssr-bundle.13734acb35be58476cc9.js	(from https://www.spotify.com/uk/premium/)
12:19:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202019%2011:19:33%20GMT	http://www.scdn.co/webpack/reactlanding.2e6373c9da4a04003c93.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/reactlanding.2e6373c9da4a04003c93.22.delayed	(from https://www.spotify.com/uk/premium/)
12:19:16	38829/38829	---M-Z	200	added ('OK')	application/javascript	etag:%22a3f59640acef9403c654f98d4474b1c4%22	https://www.scdn.co/webpack/reactlanding.2e6373c9da4a04003c93.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/webpack/reactlanding.2e6373c9da4a04003c93.js	(from https://www.spotify.com/uk/premium/)
12:19:16	14811/14811	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2021%20Mar%202019%2008:40:24%20GMT	http://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js	C:/Users/bettina/Downloads/claudia%20temp/sppofy/vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug==/vt-150.js	(from https://www.spotify.com/uk/premium/)
12:19:17	3440/3440	---MCZ	200	added ('OK')	application/javascript	etag:%2265e778d9854ab443d143b1049dde1ca6%22	https://www.fastly-insights.com/insights.js?k=040e3997-282c-4275-ba9b-a406ce78b133&dnt=1	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.fastly-insights.com/insights1ddd.js	(from https://www.spotify.com/uk/premium/)
12:19:17	305/305	---M--	200	added ('OK')	image/png	etag:%22dce4f83f5aa66eab5056f409f4089a42%22	https://sp-bootstrap.global.ssl.fastly.net/8.9.0/images/icon-chevron-left.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/sp-bootstrap.global.ssl.fastly.net/8.9.0/images/icon-chevron-left.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:17	374/374	---M--	200	added ('OK')	image/png	etag:%226ab6de726a8fb201ffd229883f170d8b%22	https://sp-bootstrap.global.ssl.fastly.net/8.9.0/images/icon-chevron-right.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/sp-bootstrap.global.ssl.fastly.net/8.9.0/images/icon-chevron-right.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:17	33420/33420	---M--	200	added ('OK')	image/jpeg	etag:%22aaa7148dd2edaeb43b33ae086b19c7b3%22	https://www.scdn.co/i/landing/amazonalexa/voice-bg.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/landing/amazonalexa/voice-bg.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:17	29849/29849	---M--	200	added ('OK')	image/jpeg	etag:%220bbff2673ef606b92dea6f530e8e65b9%22	https://www.scdn.co/i/connect/header-spikes-sm.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/connect/header-spikes-sm.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:18	22829/22829	---M--	200	added ('OK')	image/jpeg	etag:%22755ae06f07fb00016f950fa56cce3d1b%22	https://www.scdn.co/i/connect/header-spikes-xs.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/connect/header-spikes-xs.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:18	12074/12074	---M--	200	added ('OK')	image/jpeg	etag:%2205a673f762d3890bd94b120355847622%22	https://www.scdn.co/i/connect/premium-bg.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/connect/premium-bg.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:18	17633/17633	---M--	200	added ('OK')	image/png	etag:%22795477362d1291b8ed887a116e21326d%22	https://www.scdn.co/i/connect/premium-bg-lg.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/connect/premium-bg-lg.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:18	14094/14094	---M--	200	added ('OK')	image/png	etag:%22d94238a66b9b4b4de4163d63b3141e0e%22	https://www.scdn.co/i/connect/premium-bg-sm.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/connect/premium-bg-sm.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:18	90795/90795	---M--	200	added ('OK')	image/jpeg	etag:%221552a4974d008b778ec668c04ef40f86%22	https://www.scdn.co/i/playstation/playstation-header-bg-md.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-header-bg-md.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:19	90632/90632	---M--	200	added ('OK')	image/jpeg	etag:%2227de049198629658b13efefdeed06ea2%22	https://www.scdn.co/i/playstation/playstation-header-bg-lg.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-header-bg-lg.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:19	68392/68392	---M--	200	added ('OK')	image/jpeg	etag:%229a4b0890c12f022a29e826e86602f819%22	https://www.scdn.co/i/playstation/playstation-header-bg-sm.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-header-bg-sm.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:19	42158/42158	---M--	200	added ('OK')	image/jpeg	etag:%220c3b79da9f4e757053cd7c6385ffb1e3%22	https://www.scdn.co/i/playstation/playstation-header-bg-xs.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-header-bg-xs.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:19	14032/14032	---M--	200	added ('OK')	image/png	etag:%2230e37065b3622e3f0968c36795f6ec78%22	https://www.scdn.co/i/playstation/playstation-premium-bg-md.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-premium-bg-md.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:20	18620/18620	---M--	200	added ('OK')	image/png	etag:%22735d50ea71efe8f89c18ee6993fec4e0%22	https://www.scdn.co/i/playstation/playstation-premium-bg-lg.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-premium-bg-lg.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:20	10169/10169	---M--	200	added ('OK')	image/png	etag:%2235e49e38432e5ef5181aef7ed8306165%22	https://www.scdn.co/i/playstation/playstation-premium-bg-sm.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-premium-bg-sm.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:20	8143/8143	---M--	200	added ('OK')	image/png	etag:%22efef9951fb337b860e7fa26857662a46%22	https://www.scdn.co/i/playstation/playstation-premium-bg-xs.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/playstation/playstation-premium-bg-xs.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:20	13957/13957	---M--	200	added ('OK')	image/png	etag:%22db9b21a1c41f3dcd9731e1e7acfdbb57%22	https://www.scdn.co/i/landing/stations/google-play-badge.png	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/landing/stations/google-play-badge.png	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:20	74780/74780	---M--	200	added ('OK')	image/jpeg	etag:%22bb77476fb4414111aa89e1790c606874%22	https://www.scdn.co/i/xbox/xbox-header-bg-md.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/xbox/xbox-header-bg-md.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:21	113834/113834	---M--	200	added ('OK')	image/jpeg	etag:%22cb07bbd1c4651e4ac9889f6659031345%22	https://www.scdn.co/i/xbox/xbox-header-bg-lg.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/xbox/xbox-header-bg-lg.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
12:19:21	58369/58369	---M--	200	added ('OK')	image/jpeg	etag:%22af0e5ff9a0a0cf6d0ab4c99be91da7d3%22	https://www.scdn.co/i/xbox/xbox-header-bg-sm.jpg	C:/Users/bettina/Downloads/claudia%20temp/sppofy/www.scdn.co/i/xbox/xbox-header-bg-sm.jpg	(from https://www.scdn.co/build/css/spotify-d4b0ac8034.css)
